"full_name","url","stars","forks","updated_at","language","license","category","relevance_tier","description"
"GreenSheep01201/claw-empire","https://github.com/GreenSheep01201/claw-empire","220","51","2026-02-27T02:02:12Z","TypeScript","Apache-2.0","plugins-skills","B-medium","Command Your AI Agent Empire from the CEO Desk — A local-first AI agent office simulator that orchestrates CLI, OAuth, and API-connected agents (Claude Code, Codex CLI, Gemini CLI, OpenCode, and more) as a virtual autonomous company."
"AidanPark/openclaw-android","https://github.com/AidanPark/openclaw-android","220","37","2026-02-27T02:35:42Z","Shell","MIT","deployment","A-high","Run OpenClaw on Android with a single command — no proot, no Linux"
"mithun50/openclaw-termux","https://github.com/mithun50/openclaw-termux","214","37","2026-02-27T03:01:29Z","Dart","MIT","panel-ui","A-high","Run OpenClaw AI Gateway on Android — standalone Flutter app with built-in terminal, web dashboard, and one-tap setup. Also available as a Termux CLI package."
"techartdev/OpenClawHomeAssistant","https://github.com/techartdev/OpenClawHomeAssistant","213","23","2026-02-27T02:54:55Z","Shell","MIT","plugins-skills","A-high","OpenClaw Assistant – Home Assistant Add-on"
"SawyerHood/gitclaw","https://github.com/SawyerHood/gitclaw","212","29","2026-02-26T21:06:21Z","Python","MIT","other","B-medium","OpenClaw but it runs entirely on github actions"
"AlexAnys/awesome-openclaw-usecases-zh","https://github.com/AlexAnys/awesome-openclaw-usecases-zh","204","28","2026-02-27T03:07:23Z",,"MIT","panel-ui","A-high","🇨🇳 OpenClaw（AI 智能体）中文用例大全 | 29 个真实场景：自动化办公、内容创作、服务器运维、个人助理、知识管理 | 零基础新手友好 | Chinese guide for OpenClaw AI agent use cases"
"lekt9/openclaw-foundry","https://github.com/lekt9/openclaw-foundry","200","20","2026-02-26T22:51:17Z","TypeScript","","plugins-skills","A-high","The forge that forges itself. Self-writing meta-extension for OpenClaw.ai"
"adversa-ai/secureclaw","https://github.com/adversa-ai/secureclaw","191","31","2026-02-27T02:20:43Z","TypeScript","","security","B-medium","SecureClaw - Security Plugin and Skill for OpenClaw OWASP-Aligned"
"SaseQ/discord-mcp","https://github.com/SaseQ/discord-mcp","190","42","2026-02-27T02:24:05Z","Java","MIT","plugins-skills","B-medium","A MCP server for the Discord integration. Enable your AI assistants to seamlessly interact with Discord. Enhance your Discord experience with powerful automation capabilities."
"marian2js/opengoat","https://github.com/marian2js/opengoat","183","21","2026-02-26T18:14:39Z","TypeScript","MIT","plugins-skills","B-medium","Build organizations of OpenClaw agents that coordinate work across Codex, Claude Code, Cursor, OpenCode, and more 🐐 🐐 🐐"
"backbay-labs/clawdstrike","https://github.com/backbay-labs/clawdstrike","180","17","2026-02-27T01:35:40Z","Rust","Apache-2.0","security","A-high","Build your own Swarm Detection & Response (SDR) platform and OpenClaw security infrastructure with Clawdstrike. Become a cyber industry."
"bfzli/clawhost","https://github.com/bfzli/clawhost","178","55","2026-02-27T02:00:38Z","TypeScript","MIT","deployment","B-medium","One-click cloud hosting for OpenClaw AI agents."
"SuperagenticAI/superclaw","https://github.com/SuperagenticAI/superclaw","176","29","2026-02-26T19:45:19Z","Python","Apache-2.0","security","B-medium","SuperClaw: Red-Team AI Agents Before They Red-Team You"
"ErwanLorteau/BMAD_Openclaw","https://github.com/ErwanLorteau/BMAD_Openclaw","170","52","2026-02-27T01:30:25Z","TypeScript","","other","A-high","Bridging the BMad Method to OpenClaw  —  Structured AI-driven development workflows."
"androidmalware/OpenClaw_Termux","https://github.com/androidmalware/OpenClaw_Termux","170","40","2026-02-27T02:05:30Z","Shell","","deployment","A-high","How to Install OpenClaw on an Android Phone and Control It via WhatsApp"
"Shelpuk-AI-Technology-Consulting/kindly-web-search-mcp-server","https://github.com/Shelpuk-AI-Technology-Consulting/kindly-web-search-mcp-server","169","10","2026-02-27T02:02:34Z","Python","MIT","panel-ui","B-medium","Kindly Web Search MCP Server: Web search + robust content retrieval for AI coding tools (Claude Code, Codex, Cursor, GitHub Copilot, Gemini, etc.) and AI agents (Claude Desktop, OpenClaw, etc.). Supports Serper, Tavily, and SearXNG."
"team9ai/team9","https://github.com/team9ai/team9","167","17","2026-02-26T14:06:36Z","TypeScript","NOASSERTION","other","B-medium","Team9 is a collaborative workspace for AI agents, currently built on OpenClaw and its ecosystem."
"openmozi/openmozi","https://github.com/openmozi/openmozi","165","22","2026-02-27T01:46:26Z","TypeScript","Apache-2.0","alternatives-forks","B-medium","轻量级的clawdbot/openclaw，支持飞书，钉钉，QQ和企业微信"
"SeyZ/clawbands","https://github.com/SeyZ/clawbands","158","14","2026-02-26T09:41:03Z","TypeScript","MIT","security","B-medium","ClawBands is a security middleware for OpenClaw AI agents."
"opsre/ZenOps","https://github.com/opsre/ZenOps","154","17","2026-02-22T17:47:49Z","Go","Apache-2.0","plugins-skills","B-medium","🧘 通过钉钉、飞书、企微智能机器人用自然语言查询运维资源的工具。"
"beam-cloud/airstore","https://github.com/beam-cloud/airstore","150","8","2026-02-27T02:30:48Z","Go","AGPL-3.0","other","B-medium","The filesystem for AI agents"
"slhleosun/EvoClaw","https://github.com/slhleosun/EvoClaw","150","15","2026-02-27T02:42:20Z","Python","MIT","panel-ui","B-medium","Structured SOUL evolution framework for AI agents — experience, reflection, governed identity updates, and visual timelines."
"scouzi1966/maclocal-api","https://github.com/scouzi1966/maclocal-api","144","7","2026-02-26T13:13:52Z","Swift","MIT","plugins-skills","B-medium","'afm' command cli: macOS server and single prompt mode that exposes Apple's Foundation and MLX Models and other APIs running on your Mac through a single aggregated OpenAI-compatible API endpoint. Supports Apple Vision and single command (non-server) inference with piping as well . Now with Web Browser and  local AI API aggregator"
"rawwerks/ypi","https://github.com/rawwerks/ypi","138","15","2026-02-27T01:53:51Z","Shell","MIT","other","B-medium","A recursive coding agent inpired by RLMs"
"zhaoxinyi02/ClawPanel","https://github.com/zhaoxinyi02/ClawPanel","128","26","2026-02-27T02:43:21Z","TypeScript","NOASSERTION","panel-ui","B-medium","🐾 ClawPanel — OpenClaw AI 助手可视化管理面板。Go 单二进制部署，支持 20+ 通道统一管理，跨平台，实时日志监控。"
"clawshell/clawshell","https://github.com/clawshell/clawshell","123","7","2026-02-26T19:40:06Z","Rust","Apache-2.0","security","B-medium","The Runtime Security Layer for OpenClaw, the essential safety harness for PII & sensitive credentials protection."
"machinae/awesome-claws","https://github.com/machinae/awesome-claws","123","14","2026-02-26T22:57:07Z",,"MIT","docs-cases","B-medium","A curated list of awesome AI agents inspired by OpenClaw"
"mudrii/openclaw-dashboard","https://github.com/mudrii/openclaw-dashboard","120","25","2026-02-27T02:49:20Z","HTML","MIT","panel-ui","A-high","A beautiful, zero-dependency command center for OpenClaw AI agents"
"JasonDocton/lucid-memory","https://github.com/JasonDocton/lucid-memory","120","7","2026-02-26T12:50:06Z","TypeScript","GPL-3.0","other","B-medium","Memory for AI that works like yours—local, instant, persistent. 13x faster than Pinecone, 5x leaner than RAG. Finds what RAG misses. Zero cloud, zero cost."
"centminmod/explain-openclaw","https://github.com/centminmod/explain-openclaw","119","13","2026-02-27T00:51:23Z",,"","security","A-high","Multi-AI documentation for OpenClaw: architecture, security audits, deployment guide"
"MemTensor/MemOS-Cloud-OpenClaw-Plugin","https://github.com/MemTensor/MemOS-Cloud-OpenClaw-Plugin","117","20","2026-02-27T00:36:56Z","JavaScript","Apache-2.0","plugins-skills","A-high","Official MemOS Cloud plugin for OpenClaw. Enables long-term memory for agents by recalling context before execution and saving conversations after each run."
"Intina47/context-sync","https://github.com/Intina47/context-sync","116","9","2026-02-22T13:48:55Z","TypeScript","MIT","panel-ui","B-medium","Local persistent memory store for LLM applications including continue.dev, cursor, claude desktop, github copilot, codex, antigravity, etc."
"essamamdani/openclaw-coolify","https://github.com/essamamdani/openclaw-coolify","115","90","2026-02-23T15:05:19Z","Shell","","other","A-high","OpenClaw aka (Clawdbot, MoltBot) is an open agent platform that runs on your machine and works from the chat apps you already use. WhatsApp, Telegram, Discord, Slack, Teams—wherever you are, your AI assistant follows."
"dreamwing/clawbridge","https://github.com/dreamwing/clawbridge","114","5","2026-02-27T02:03:43Z","JavaScript","","panel-ui","B-medium","ClawBridge is the OpenClaw Mobile Dashboard. Monitor agent's real-time thoughts, actions, track token costs, and manage tasks from anywhere using your pocket-sized Mission Control."
"tugcantopaloglu/openclaw-dashboard","https://github.com/tugcantopaloglu/openclaw-dashboard","114","28","2026-02-26T15:48:25Z","HTML","","security","A-high","🔐 Secure, real-time monitoring dashboard for OpenClaw AI agents. Auth, TOTP MFA, cost tracking, live feed, memory browser — zero dependencies."
"aaronjmars/soul.md","https://github.com/aaronjmars/soul.md","113","9","2026-02-27T02:31:41Z",,"","plugins-skills","B-medium","The best way to build a personality for your agent. Let Claude Code / OpenClaw ingest your data & build your AI soul."
"warengonzaga/tinyclaw","https://github.com/warengonzaga/tinyclaw","111","16","2026-02-27T02:38:26Z","TypeScript","GPL-3.0","alternatives-forks","B-medium","The original Tiny Claw as your personal autonomous AI companion. 🐜"
"madrzak/vidclaw","https://github.com/madrzak/vidclaw","111","30","2026-02-26T11:44:30Z","TypeScript","","panel-ui","B-medium","The OpenClaw Dashboard 🦞"
"Natfii/ZeroClaw-Android","https://github.com/Natfii/ZeroClaw-Android","108","18","2026-02-27T02:30:15Z","Kotlin","MIT","plugins-skills","B-medium","Run AI agents 24/7 on your Android phone. Native Rust core, 25+ providers (OpenAI, Claude, Gemini, Groq, DeepSeek,         Ollama), encrypted key storage, plugin browser, Material You UI. Self-hosted alternative to Mac Mini setups. MIT           licensed."
"riba2534/happyclaw","https://github.com/riba2534/happyclaw","108","12","2026-02-27T03:06:38Z","TypeScript","MIT","other","B-medium","happy happy happyclaw~"
"dedene/claw-wrap","https://github.com/dedene/claw-wrap","102","7","2026-02-25T22:01:09Z","Go","MIT","security","B-medium","A secure credential proxy for CLI tools. Executes tools with secrets on behalf of sandboxed processes - credentials never enter the sandbox."
"0xtresser/OpenClaw-Book","https://github.com/0xtresser/OpenClaw-Book","101","9","2026-02-27T02:39:13Z",,"","other","A-high","《深入 OpenClaw》。全网第一本介绍 OpenClaw 的书，用 OpenClaw + OpenCode + Opus 4.6 写成。A book introducing OpenClaw, written by OpenClaw + OpenCode + Opus 4.6"
"daggerhashimoto/openclaw-nerve","https://github.com/daggerhashimoto/openclaw-nerve","101","15","2026-02-27T01:10:34Z","TypeScript","MIT","panel-ui","A-high","Real-time web cockpit for OpenClaw: voice conversations, workspace/file control, sub-agent sessions, inline charts, and usage visibility."
"outsourc-e/clawsuite","https://github.com/outsourc-e/clawsuite","98","21","2026-02-26T16:25:55Z","TypeScript","MIT","panel-ui","B-medium","All-in-one command center for OpenClaw agents"
"qingchencloud/clawapp","https://github.com/qingchencloud/clawapp","94","10","2026-02-27T02:08:56Z","JavaScript","","deployment","B-medium","📱 ClawApp — Mobile H5 chat client for OpenClaw AI Agent platform. 用手机和你的 AI 智能体聊天。"
"Light-Heart-Labs/Lighthouse-AI","https://github.com/Light-Heart-Labs/Lighthouse-AI","92","18","2026-02-26T23:08:25Z","Shell","Apache-2.0","deployment","B-medium"," One command to a full local AI stack — LLM inference, chat UI, voice agents, workflows, RAG, and privacy tools. Includes operations toolkit for persistent AI agents. No cloud, no subscriptions."
"wardgate/wardgate","https://github.com/wardgate/wardgate","90","8","2026-02-27T02:54:06Z","Go","AGPL-3.0","security","B-medium","Security gateway for AI agents - credential-isolated API proxying and policy-gated remote execution (conclaves). Reduce the blast radius!"
"princezuda/safeclaw","https://github.com/princezuda/safeclaw","84","8","2026-02-25T09:36:18Z","Python","MIT","alternatives-forks","B-medium","Safeclaw is the alternative to openclaw.. You can naturally chat with it via text and voice, yet there is no language model., it picks up on intent and semantics. No prompt injection while you get over ninety percent of what openclaw does plus tts and voice to text  "
"vivekchand/clawmetry","https://github.com/vivekchand/clawmetry","84","17","2026-02-27T02:09:58Z","Python","MIT","panel-ui","B-medium","See your agent think. Real-time observability dashboard for OpenClaw AI agents."
"gluk-w/claworc","https://github.com/gluk-w/claworc","84","9","2026-02-26T14:46:59Z","Go","NOASSERTION","security","B-medium","Openclaw Orchestrator"
"openclaw-rocks/k8s-operator","https://github.com/openclaw-rocks/k8s-operator","83","17","2026-02-26T22:13:51Z","Go","Apache-2.0","security","A-high","Kubernetes operator for deploying and managing OpenClaw AI agent instances with production-grade security, observability, and lifecycle management."
"kk43994/kkclaw","https://github.com/kk43994/kkclaw","81","10","2026-02-26T09:53:41Z","JavaScript","NOASSERTION","panel-ui","B-medium","🦞 一个可爱的桌面龙虾AI助手 - Desktop lobster pet with OpenClaw AI, Edge TTS voice, and emotion animations"
"rizqcon/openclawdev-taskboard","https://github.com/rizqcon/openclawdev-taskboard","80","17","2026-02-27T02:27:16Z","HTML","MIT","security","A-high","An Open Claw Development Team built with security and best pracices in mind."
"avast/sage","https://github.com/avast/sage","80","5","2026-02-26T22:00:21Z","TypeScript","Apache-2.0","security","B-medium","Lightweight Agent Detection & Response (ADR) layer for AI agents — guards commands, files, and web requests"
"agi-hub/AGIAgent","https://github.com/agi-hub/AGIAgent","80","11","2026-02-26T13:37:00Z","Python","NOASSERTION","other","B-medium","An open-source Vibe platform similar to Claude Cowork / Manus / Openclaw, with professional rich image document generation."
"jontsai/openclaw-command-center","https://github.com/jontsai/openclaw-command-center","77","16","2026-02-26T18:56:04Z","JavaScript","MIT","panel-ui","A-high","🤖 AI assistant command and control dashboard — Spawn more Overlords!"
"mengjian-github/xiaomo-starter-kit","https://github.com/mengjian-github/xiaomo-starter-kit","76","22","2026-02-27T03:02:28Z",,"","docs-cases","B-medium","🐈‍⬛ OpenClaw 中文 AI 助手模板 | 5分钟拥有你的 AI 私人助手"
"RelayPlane/proxy","https://github.com/RelayPlane/proxy","75","10","2026-02-26T13:46:42Z","TypeScript","","panel-ui","B-medium","Open source cost intelligence proxy for AI agents. Cut costs ~80% with smart model routing. Dashboard, policy engine, 11 providers. MIT licensed."
"AlexsJones/sympozium","https://github.com/AlexsJones/sympozium","74","13","2026-02-27T01:23:50Z","Go","MIT","deployment","B-medium","Run a fleet of AI agents on Kubernetes. Administer your cluster agentically"
"FoundDream/miniclawd","https://github.com/FoundDream/miniclawd","73","15","2026-02-26T16:31:12Z","TypeScript","","plugins-skills","A-high","🦞 A lightweight openclaw build with TypeScript."
"jasonkneen/vibeclaw","https://github.com/jasonkneen/vibeclaw","72","11","2026-02-26T09:35:05Z","TypeScript","AGPL-3.0","deployment","B-medium","Deploy OpenClaw to your local browser"
"keep-starknet-strange/starknet-agentic","https://github.com/keep-starknet-strange/starknet-agentic","72","19","2026-02-26T02:14:19Z","TypeScript","MIT","plugins-skills","B-medium","Smart contracts, tools, and skills for AI agents that transact on Starknet"
"SukinShetty/Nemp-memory","https://github.com/SukinShetty/Nemp-memory","69","10","2026-02-26T15:52:08Z","PowerShell","MIT","plugins-skills","B-medium","Nemp - The memory plugin for Claude Code that remembers everything."
"backslash-security/Claw-Hunter","https://github.com/backslash-security/Claw-Hunter","68","6","2026-02-22T14:00:57Z","Shell","MIT","security","B-medium","MDM-ready scripts for detecting and monitoring OpenClaw (clawdbot, moltbot) on managed devices. Detect, audit and secure shadow AI agents across macOS, Linux and Windows endpoints."
"spleck/claw-dashboard","https://github.com/spleck/claw-dashboard","68","7","2026-02-25T19:14:06Z","JavaScript","MIT","panel-ui","B-medium","A beautiful, real-time terminal dashboard for monitoring OpenClaw instances — inspired by modern system monitors like btop, htop, and mactop."
"bolivian-peru/os-moda","https://github.com/bolivian-peru/os-moda","65","8","2026-02-26T11:45:56Z","Rust","Apache-2.0","deployment","B-medium","Your server fixes itself at 3am. You sleep. AI-native operating system built on NixOS."
"knostic/openclaw-detect","https://github.com/knostic/openclaw-detect","65","9","2026-02-26T23:48:30Z","Shell","Apache-2.0","security","A-high","Detection scripts for MDM deployment to identify OpenClaw installations on managed devices."
"ucsandman/DashClaw","https://github.com/ucsandman/DashClaw","64","17","2026-02-26T20:52:56Z","JavaScript","MIT","security","B-medium","🛡️AI Agent Observability & Governance Platform. Track actions, monitor risk signals, and implement behavior   guardrails for autonomous agent fleets. Includes Dashboard, Python CLI Tools, and Node.js SDK."
"sinewaveai/agent-security-scanner-mcp","https://github.com/sinewaveai/agent-security-scanner-mcp","64","5","2026-02-26T19:12:16Z","JavaScript","MIT","security","B-medium","Security scanner MCP server for AI coding agents. Prompt injection firewall, package hallucination detection (4.3M+ packages), 1000+ vulnerability rules with AST & taint analysis, auto-fix."
"AlexAnys/opencrew","https://github.com/AlexAnys/opencrew","62","9","2026-02-27T01:01:27Z","Shell","MIT","deployment","B-medium","Openclaw多智能体协同系统 | Multi-Agent OS for Decision Makers — 基于 OpenClaw (Clawbot) + Slack，让 AI 团队各司其职、自主稳定迭代。"
"ZeroPointRepo/youtube-skills","https://github.com/ZeroPointRepo/youtube-skills","62","8","2026-02-26T06:56:12Z","JavaScript","MIT","plugins-skills","B-medium","YouTube Transcript API skills for AI agents. Get transcripts, search videos, browse channels. Works with OpenClaw, ClawdBot, Claude Code, Cursor, Windsurf."
"jau123/MeiGen-AI-Design-MCP","https://github.com/jau123/MeiGen-AI-Design-MCP","62","5","2026-02-26T10:36:51Z","TypeScript","MIT","plugins-skills","B-medium","MeiGen-AI-Design-MCP — Turn Claude Code / OpenClaw into your local Lovart. Local ComfyUI, 1,400+ prompt library, multi-direction parallel generation."
"lobu-ai/lobu","https://github.com/lobu-ai/lobu","59","3","2026-02-26T22:59:10Z","TypeScript","Apache-2.0","security","B-medium","Multi-tenant OpenClaw for teams and end-users.       Safely deploy autonomous agents with sandboxing programmatic API creation."
"Scottcjn/Rustchain","https://github.com/Scottcjn/Rustchain","59","77","2026-02-27T02:15:10Z","Python","Apache-2.0","other","B-medium","Proof-of-Antiquity blockchain — vintage PowerPC hardware earns 2.5x mining rewards. Hardware fingerprinting, Solana bridge (wRTC), AI agent economy. Discord: https://discord.gg/VqVVS2CW9Q"
"CyberSecurityUP/ironclaw","https://github.com/CyberSecurityUP/ironclaw","58","8","2026-02-26T19:52:28Z","Rust","","security","B-medium","Your own personal AI assistant. But with security by design. Support for numerous operating systems. Any platform."
"agenticmail/agenticmail","https://github.com/agenticmail/agenticmail","56","3","2026-02-26T22:23:35Z","TypeScript","NOASSERTION","plugins-skills","B-medium","Email & SMS infrastructure for AI agents — send and receive real email and text messages programmatically"
"JIGGAI/ClawRecipes","https://github.com/JIGGAI/ClawRecipes","56","5","2026-02-27T01:42:08Z","TypeScript","Apache-2.0","security","B-medium","Save 120+ Hours of Setup Pain (I did it for you) – Launch Your OpenClaw Agent Teams with 1 Command (15+ Recipes)"
"knostic/openclaw-telemetry","https://github.com/knostic/openclaw-telemetry","56","7","2026-02-26T23:48:27Z","TypeScript","Apache-2.0","plugins-skills","A-high","Telemetry for OpenClaw - Captures tool calls, LLM usage, agent lifecycle, and message events. Outputs to JSONL file and optionally to syslog for SIEM integration."
"clawdbrunner/openclaw-graphiti-memory","https://github.com/clawdbrunner/openclaw-graphiti-memory","53","5","2026-02-24T20:48:32Z","Shell","MIT","other","A-high","Hybrid memory system for OpenClaw using Graphiti temporal knowledge graph"
"thedaviddias/souls-directory","https://github.com/thedaviddias/souls-directory","51","1","2026-02-27T00:51:34Z","TypeScript","MIT","other","B-medium","🧠 Directory of SOUL.md personality files for OpenClaw agents"
"clawstr/clawstr","https://github.com/clawstr/clawstr","50","11","2026-02-22T01:45:38Z","TypeScript","AGPL-3.0","other","B-medium","Social network for AI agents on Nostr"
"openlegion-ai/openlegion","https://github.com/openlegion-ai/openlegion","50","3","2026-02-26T19:20:14Z","Python","NOASSERTION","security","B-medium","Secure autonomous AI agent fleet platform — Docker-isolated, multi-provider, with built-in cost controls. OpenClaw alternative for production use."
"dazeb/openclaw-deepseek-integration","https://github.com/dazeb/openclaw-deepseek-integration","49","7","2026-02-26T16:22:56Z","Shell","MIT","plugins-skills","A-high","DeepSeek API Platform integration for OpenClaw"
"GustyCube/membrane","https://github.com/GustyCube/membrane","49","4","2026-02-25T06:35:43Z","Go","MIT","other","B-medium","A selective learning and memory substrate for agentic systems — typed, revisable, decayable memory with competence learning and trust-aware retrieval."
"s87343472/backlink-pilot","https://github.com/s87343472/backlink-pilot","48","9","2026-02-25T04:28:25Z","JavaScript","MIT","docs-cases","B-medium","Automated backlink submission toolkit for indie hackers — submit your product to directory sites, awesome-lists, and search engines with one command"
"Scottcjn/bottube","https://github.com/Scottcjn/bottube","48","32","2026-02-27T02:15:59Z","Python","Apache-2.0","plugins-skills","B-medium","AI video platform where 63+ agents create, upload, and interact with video content. 447+ videos. Python SDK (pip install bottube). REST API. Solana tipping. Discord: https://discord.gg/VqVVS2CW9Q"
"waynesutton/clawsync","https://github.com/waynesutton/clawsync","48","20","2026-02-26T20:18:35Z","TypeScript","MIT","plugins-skills","B-medium","ClawSync, OpenClaw for the cloud. Deploy an open source personal AI agent with chat UI, skills system, MCP support, and multi-model routing. Built on Convex."
"vincentkoc/awesome-openclaw","https://github.com/vincentkoc/awesome-openclaw","47","6","2026-02-25T03:52:56Z",,"MIT","plugins-skills","A-high","Curated awesome list for OpenClaw (formerly Moltbot/Clawdbot): skills, plugins, memory systems, MCP tools, deployment stacks, ecosystem platforms, and developer tooling."
"QuantClaw/QuantClaw","https://github.com/QuantClaw/QuantClaw","47","9","2026-02-27T02:28:49Z","C++","Apache-2.0","other","B-medium","a C++ implementation of OpenClaw, designed for extremely performance and memory efficiency"
"adridder/moltron","https://github.com/adridder/moltron","46","11","2026-02-22T02:24:38Z","Shell","MIT","plugins-skills","B-medium","Self-evolving Agents. MOLTRON upgrades agents to learn and evolve skills autonomously. Welcome to the Singularity."
"CodingLucasLi/Clawome","https://github.com/CodingLucasLi/Clawome","44","6","2026-02-27T01:19:28Z","Python","Apache-2.0","plugins-skills","B-medium","Clawome - AI Agent Browser | Smart Web Browsing Tool Give your AI agent eyes and hands on any website. Open-source smart browser tool for AI agents to efficiently browse, read, and interact with web pages."
"merciagents/riphook","https://github.com/merciagents/riphook","42","1","2026-02-25T02:30:43Z","TypeScript","Apache-2.0","security","B-medium","Deterministic security layer for Openclaw(Clawdbot), Cursor and Claude Code. Write secure code, prevent data exfil, and more"
"EthanAlgoX/MarketBot","https://github.com/EthanAlgoX/MarketBot","42","8","2026-02-26T22:15:11Z","TypeScript","MIT","other","B-medium","MarketBot is a finance-customized version of openclaw, built as a dedicated AI agent for market intelligence, trading analysis, and decision support."
"hillghost86/OpenClawWeChat","https://github.com/hillghost86/OpenClawWeChat","42","8","2026-02-26T11:46:25Z","TypeScript","","plugins-skills","A-high","个人微信接入openclaw的插件，实现通过微信小程序与openclaw之间进行会话通讯。直接通过微信小程序ClawChat与OpenClaw进行对话，让OpenClaw做你让他做的事情。并且可以随时随地获得OpenClaw的回复。"
"CelestoAI/SmolVM","https://github.com/CelestoAI/SmolVM","41","7","2026-02-26T17:25:54Z","Python","Apache-2.0","security","B-medium","Secure runtime for AI agents, and tools -- free and open-source from Celesto AI 🧡"
"xxynet/KiraAI","https://github.com/xxynet/KiraAI","41","7","2026-02-26T10:08:20Z","Python","AGPL-3.0","other","B-medium","KiraAI, a modular, multi-platform AI virtual being that connects Large Language Models (LLMs) and various chat adapters (QQ,  Telegram...)"
"laborany/laborany","https://github.com/laborany/laborany","41","1","2026-02-27T01:56:18Z","TypeScript","MIT","panel-ui","B-medium","LaborAny 的初衷，是把强大的 AI Agent 能力从“少数人的命令行工具”变成“每个人都能用的桌面生产力”。它基于 Claude Code CLI 构建，提供可视化任务分发、技能匹配与创建、定时执行和记忆管理，让不会编程的用户也能稳定调用 AI 完成真实工作流。Desktop AI workforce platform built on Claude Code CLI — route tasks, run/create skills,  schedule jobs, and work with AI agents without coding."
"mergisi/awesome-openclaw-agents","https://github.com/mergisi/awesome-openclaw-agents","41","6","2026-02-27T00:32:42Z","JavaScript","MIT","plugins-skills","A-high","Curated list of AI agent templates for OpenClaw. Ready-to-use SOUL.md configs for productivity, development, marketing, and business agents. Deploy with CrewClaw."
"GML-FMGroup/cappuccino","https://github.com/GML-FMGroup/cappuccino","41","7","2026-02-24T09:12:27Z","Python","Apache-2.0","panel-ui","B-medium","Cappuccino is an GUI Agent based on desktop screen. It is a Manus-like AI Agent that can be deployed locally."
"iyeoh88-svg/openclaw-android","https://github.com/iyeoh88-svg/openclaw-android","40","11","2026-02-25T03:57:18Z","Shell","MIT","deployment","A-high","🦞 Automated installer for OpenClaw AI agent system on Android via Termux"
"knostic/openclaw-shield","https://github.com/knostic/openclaw-shield","39","7","2026-02-26T23:49:27Z","TypeScript","Apache-2.0","security","A-high","Security plugin for OpenClaw agents - prevents secret leaks, PII exposure, and destructive command execution"
"blessonism/github-explorer-skill","https://github.com/blessonism/github-explorer-skill","38","0","2026-02-25T13:00:37Z",,"MIT","plugins-skills","B-medium","OpenClaw Agent Skill — 对任意 GitHub 项目进行多源深度分析，输出结构化研判报告"
"garagon/aguara","https://github.com/garagon/aguara","38","4","2026-02-27T01:19:39Z","Go","Apache-2.0","security","B-medium","Security scanner for AI agent skills & MCP servers. 153 detection rules. 13 categories. 5 registries monitored daily. OpenClaw detection included. No API keys, no cloud, no LLM. One binary. Detection engine behind Oktsec."
"RegionallyFamous/wp-pinch","https://github.com/RegionallyFamous/wp-pinch","37","1","2026-02-26T04:34:54Z","PHP","GPL-2.0","plugins-skills","B-medium","The AI agent plugin that grabs your WordPress site with both claws."
"aymenfurter/polyclaw","https://github.com/aymenfurter/polyclaw","37","4","2026-02-26T20:52:57Z","Python","MIT","other","B-medium","Your personal AI copilot that lives where you do -- browser, terminal, your messaging apps, or a phone call."
"sameeerkashyap/awesome-claw","https://github.com/sameeerkashyap/awesome-claw","36","7","2026-02-25T09:04:34Z",,"MIT","docs-cases","B-medium","A curated list of efficient, open-source, OpenClaw-inspired AI assistant agents."
"karem505/openclaw-agent-dashboard","https://github.com/karem505/openclaw-agent-dashboard","36","10","2026-02-26T08:14:57Z","HTML","MIT","panel-ui","A-high","Glassmorphic agent management dashboard for OpenClaw"
"kakao-bart-lee/openclaw-kakao-talkchannel-plugin","https://github.com/kakao-bart-lee/openclaw-kakao-talkchannel-plugin","36","8","2026-02-25T17:48:40Z","TypeScript","","plugins-skills","A-high","openclaw 와 kakao talk channel 을 연결하기 위한 플러그인."
"ChenKuanSun/openclaw-world","https://github.com/ChenKuanSun/openclaw-world","35","7","2026-02-23T07:14:14Z","TypeScript","MIT","other","A-high","3D virtual room where AI agents walk, chat, and collaborate as animated lobster avatars"
"pocketenv-io/pocketenv","https://github.com/pocketenv-io/pocketenv","35","0","2026-02-26T07:34:49Z","TypeScript","MPL-2.0","security","B-medium","open, interoperable sandbox platform for agents and humans 📦 ✨"
"gitroomhq/postiz-agent","https://github.com/gitroomhq/postiz-agent","35","7","2026-02-25T18:02:32Z","TypeScript","NOASSERTION","plugins-skills","B-medium","Postiz Agents CLI - connect it to Claude / OpenClaw / etc, to schedule social media posts 🤖"
"digitalocean-labs/openclaw-appplatform","https://github.com/digitalocean-labs/openclaw-appplatform","34","42","2026-02-25T00:23:09Z","Shell","MIT","deployment","A-high","Pre-built Docker image for deploying OpenClaw on DigitalOcean App Platform"
"GreenSheep01201/Claw-Kanban","https://github.com/GreenSheep01201/Claw-Kanban","33","4","2026-02-27T00:08:17Z","TypeScript","Apache-2.0","plugins-skills","B-medium","AI Agent Orchestration Kanban Board — Route tasks to Claude Code, Codex CLI, and Gemini CLI with role-based auto-assignment and real-time monitoring"
"dddabtc/winremote-mcp","https://github.com/dddabtc/winremote-mcp","32","9","2026-02-27T02:03:28Z","Python","MIT","panel-ui","B-medium","Windows Remote MCP Server — 40+ tools for desktop automation, process management, file operations via FastMCP"
